x, y, z
-6.1696e+07,-8.5839e+07,8.32e+27
2.4422e+07,6.3013e+07,4.1197e+27
-1.2454e+07,5.3581e+07,2.9097e+27
5.7072e+07,-4.2729e+07,2.6401e+27
5.5995e+07,-6.1381e+07,4.5515e+27
-4.5481e+07,9.5782e+07,9.6914e+27
-4.4707e+07,-1.8754e+07,8.514e+26
6.0374e+07,5.1554e+07,3.569e+27
9.1628e+07,-8.217e+07,8.8508e+27
7.5187e+07,-3.8023e+07,2.859e+27
-2.8437e+07,2.3786e+07,7.6791e+26
1.9903e+05,-8.0179e+06,6.4297e+25
3.6693e+07,-5.6338e+07,3.5106e+27
4.254e+07,3.2704e+07,1.522e+27
-2.595e+07,3.5737e+07,1.4454e+27
1.2239e+07,9.0064e+07,8.1489e+27
6.1663e+05,-4.3748e+07,1.914e+27
-9.7246e+07,2.397e+07,2.9388e+27
5.4565e+07,-2.3341e+07,1.2891e+27
7.6528e+07,-1.9928e+07,1.8613e+27
-2.7023e+07,8.8531e+07,8.0202e+27
2.3079e+07,8.5984e+07,7.5263e+27
-8.4924e+07,8.9675e+07,9.8446e+27
-2.6235e+07,-2.4903e+07,7.9222e+26
8.6628e+07,-3.1541e+07,2.8709e+27
3.0276e+07,3.2955e+07,1.3152e+27
-2.0559e+07,-9.1536e+07,8.4845e+27
5.7746e+07,-5.3552e+07,3.7015e+27
-3.6633e+07,-1.3985e+07,5.3107e+26
1.362e+07,-8.4412e+07,7.1718e+27
7.3825e+07,5.3319e+07,4.2054e+27
-1.2765e+07,7.0778e+07,5.0502e+27
6.043e+07,-6.9913e+07,5.8008e+27
-7.1247e+07,-7.9773e+07,7.6327e+27
4.0852e+07,-4.582e+07,2.5167e+27
4.0916e+07,-9.3967e+07,9.2484e+27
-5.6242e+07,6.7564e+07,5.3557e+27
8.4974e+07,1.9517e+07,2.186e+27
-1.1572e+07,8.6219e+07,7.4672e+27
8.1863e+07,-8.9793e+05,1.6762e+27
-8.8038e+07,-2.4706e+07,2.5481e+27
-6.3143e+07,-5.1244e+07,3.6227e+27
-9.0529e+07,2.0362e+07,2.4635e+27
3.4976e+07,-3.4061e+07,1.466e+27
1.8925e+07,-7.663e+06,1.4826e+26
6.662e+06,4.4983e+07,2.0346e+27
-9.1335e+07,6.2357e+07,5.9739e+27
1.2287e+07,9.7211e+07,9.4878e+27
-3.4066e+07,-5.4602e+07,3.2715e+27
5.9337e+05,1.3539e+07,1.8338e+26
-7.7621e+07,-9.2022e+07,9.9743e+27
2.1439e+07,8.7404e+07,7.7544e+27
1.3189e+07,-4.5749e+07,2.1364e+27
-9.8647e+07,1.5017e+07,2.6583e+27
2.3488e+07,-2.6791e+07,8.5566e+26
8.2425e+07,-4.7391e+07,3.9444e+27
5.8105e+07,-6.103e+07,4.5688e+27
9.8416e+07,1.2922e+07,2.5884e+27
9.176e+07,7.7434e+07,8.101e+27
